,words,count
0,science,55
1,search,25
2,life,24
3,evolution,20
4,history,19
5,man,19
6,time,19
7,darwin,18
8,guide,18
9,universe,17
10,human,16
11,story,15
12,earth,14
13,introducing,13
14,future,11
15,new,11
16,world,11
17,books,10
18,creation,9
19,everything,9
20,brain,8
21,great,8
22,mysteries,8
23,scientific,8
24,age,7
25,big,7
26,edition,7
27,god,7
28,language,7
29,men,7
30,nature,7
31,reality,7
32,space,7
33,awards,6
34,bang,6
35,body,6
36,brief,6
37,conversations,6
38,discovery,6
39,genes,6
40,graphic,6
41,masters,6
42,mind,6
43,moon,6
44,origin,6
45,p.s,6
46,physics,6
47,quest,6
48,series,6
49,tales,6
